Year;Country;NonResistant;Resistant;Total
2004;France;133;89;222
2005;France;146;80;226
2006;France;163;100;263
2007;France;166;63;229
2008;France;125;99;224
2009;France;114;102;216
2010;France;134;74;208
2011;France;176;85;261
2012;France;196;76;272
2013;France;174;48;222
2014;France;136;95;231
2015;France;124;74;198
2016;France;201;150;351
2017;France;145;111;256
2018;France;178;58;236
2019;France;196;56;252
2004;Italy;159;78;237
2005;Italy;110;98;208
2006;Italy;112;96;208
2007;Italy;145;94;239
2008;Italy;136;100;236
2009;Italy;128;78;206
2010;Italy;174;82;256
2011;Italy;136;80;216
2012;Italy;198;96;294
2013;Italy;174;105;279
2014;Italy;136;96;232
2015;Italy;189;85;274
2016;Italy;123;78;201
2017;Italy;168;90;258
2018;Italy;174;100;274
2019;Italy;166;105;271
2004;Spain;164;33;197
2005;Spain;110;98;208
2006;Spain;112;96;208
2007;Spain;145;94;239
2008;Spain;136;100;236
2009;Spain;128;78;206
2010;Spain;174;82;256
2011;Spain;136;80;216
2012;Spain;;;
2013;Spain;;;
2014;Spain;136;96;232
2015;Spain;189;85;274
2016;Spain;123;78;201
2017;Spain;168;90;258
2018;Spain;;;0
2019;Spain;166;105;271
2004;Portugal;164;33;197
2005;Portugal;110;98;208
2006;Portugal;112;96;208
2007;Portugal;145;94;239
2008;Portugal;136;100;236
2009;Portugal;128;78;206
2010;Portugal;174;82;256
2011;Portugal;136;80;216
2012;Portugal;;;
2013;Portugal;;;
2014;Portugal;;;
2015;Portugal;;;
2016;Portugal;;;
2017;Portugal;;;
2018;Portugal;;;
2019;Portugal;;;
2004;Greece;164;33;197
2005;Greece;110;98;208
2006;Greece;112;96;208
2007;Greece;145;94;239
2008;Greece;136;100;236
2009;Greece;128;78;206
2010;Greece;174;82;256
2011;Greece;136;80;216
2012;Greece;;;
2013;Greece;;;
2014;Greece;;;
2015;Greece;;;
2016;Greece;145;94;239
2017;Greece;128;33;161
2018;Greece;174;98;272
2019;Greece;136;96;232
2004;Germany;164;33;197
2005;Germany;110;98;208
2006;Germany;;;
2007;Germany;;;
2008;Germany;;;
2009;Germany;;;
2010;Germany;;;
2011;Germany;;;
2012;Germany;;;
2013;Germany;;;
2014;Germany;;;
2015;Germany;;;
2016;Germany;;;
2017;Germany;;;
2018;Germany;;;
2019;Germany;;;
