Year;Country;mockCov_3
2004;France;72
2005;France;82
2006;France;87
2007;France;102
2008;France;78
2009;France;76
2010;France;58
2011;France;100
2012;France;90
2013;France;84
2014;France;86
2015;France;60
2016;France;68
2017;France;71
2018;France;97
2019;France;57
2004;Italy;94
2005;Italy;55
2006;Italy;82
2007;Italy;79
2008;Italy;87
2009;Italy;88
2010;Italy;58
2011;Italy;96
2012;Italy;98
2013;Italy;65
2014;Italy;92
2015;Italy;61
2016;Italy;68
2017;Italy;100
2018;Italy;90
2019;Italy;66
2004;Germany;100
2005;Germany;68
2006;Germany;74
2007;Germany;55
2008;Germany;61
2009;Germany;82
2010;Germany;104
2011;Germany;94
2012;Germany;77
2013;Germany;69
2014;Germany;93
2015;Germany;88
2016;Germany;62
2017;Germany;87
2018;Germany;97
2019;Germany;84
2004;Greece;104
2005;Greece;69
2006;Greece;73
2007;Greece;61
2008;Greece;68
2009;Greece;72
2010;Greece;67
2011;Greece;63
2012;Greece;96
2013;Greece;80
2014;Greece;83
2015;Greece;86
2016;Greece;105
2017;Greece;66
2018;Greece;81
2019;Greece;99
2004;Spain;96
2005;Spain;56
2006;Spain;57
2007;Spain;97
2008;Spain;99
2009;Spain;86
2010;Spain;92
2011;Spain;78
2012;Spain;68
2013;Spain;105
2014;Spain;79
2015;Spain;77
2016;Spain;65
2017;Spain;69
2018;Spain;103
2019;Spain;64
2004;Portugal;82
2005;Portugal;78
2006;Portugal;71
2007;Portugal;95
2008;Portugal;92
2009;Portugal;65
2010;Portugal;81
2011;Portugal;86
2012;Portugal;62
2013;Portugal;90
2014;Portugal;55
2015;Portugal;56
2016;Portugal;103
2017;Portugal;84
2018;Portugal;98
2019;Portugal;73
